label,centroid
29,[-1, -1, -1, -1, -1, -1, -1, -1, 90, 90, 90, 90, 90, 90, 90, 90, 90, 105, 90, 75, 105, 90, 90, 90, 90, 90, 90, 90, 90, 90, 105, 75, 90, 90, 90, 90, 90, 90, 90, 90, 90, -1, 60, -1, 75, 75, 75, 120, 90, 90, 105, 90, 90, 90, 90, 90, -1, -1, 90, -1, -1, -1, -1, 90]
30,[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 105, 105, 90, 105, 90, 90, 90, 75, 45, 165, 90, 105, 90, 90, 105, 90, 165, 45, 165, 165, 135, 150, 165, 120, 0, 165, 30, 165, 150, 165, 165, 60]
31,[15, 15, 150, 0, 0, 45, 15, 15, -1, -1, 165, 30, 165, 30, 30, 15, -1, 15, 15, 0, 0, 0, 0, -1, -1, 120, 15, 165, 150, 165, 15, 30, 105, 90, 90, 60, 105, 90, 75, 90, 90, 75, 90, 90, 120, 90, 90, 90, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1]
32,[15, 165, -1, -1, -1, 15, 0, 15, 0, 0, -1, -1, -1, 0, 0, 0, 0, 0, -1, -1, -1, 0, 0, 0, 0, 0, -1, -1, -1, 0, 0, 0, 0, 0, 30, 105, -1, 0, 0, 0, 0, 0, 165, 45, 105, 0, 15, 0, 0, -1, -1, 120, 75, 165, 0, 0, 135, 135, -1, 90, 75, 105, 105, 0]
33,[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, -1, -1, -1, -1, -1, -1, -1, -1, 90, 75, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 105, 105]
34,[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 90, 75, 90, 90, 90, 90, 90, 90, 120, 90, 90, 90, 90, 90, 90, 75, 90, 90, 90, 75, 90, 75, 90, 90, -1, -1, -1, -1, 75, 120, 0, -1]
35,[165, 90, 90, 90, 90, 90, 90, 0, 0, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, 0, 165, -1, -1, -1, 90, 90, -1, 15, 30, 90, 90, 105, 90, 90, 90, 150, 15, 90, 90, 90, 90, 90, 105, 120, 0, 90, 90, 90, 75, 90, 90, 15, 165, 90, 90, 90, 90, 90, 90, 150]
36,[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 75, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, -1, -1, -1, -1, -1, -1, -1, -1, 150, -1, -1, -1, -1, -1, -1, -1]
37,[-1, -1, -1, -1, -1, -1, -1, -1, 90, 90, 90, 105, 90, 90, 90, 90, -1, 105, 120, 15, 120, 120, 165, 150, 15, 165, 165, 165, 165, 165, 165, 165, 165, 15, 150, 60, 60, -1, 60, 60, 150, 30, 135, 135, 75, 90, 45, 45, 90, 60, 90, 90, 90, 105, 105, 90, -1, -1, -1, -1, -1, -1, -1, -1]
38,[150, 15, 0, 15, 105, 165, 165, 165, 165, 15, 165, -1, 150, 150, 165, 120, 15, 90, 165, 15, 15, 120, 120, 135, 90, 60, 90, 75, 60, 75, 90, 90, 90, 75, 75, 75, 75, 75, 90, 90, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
39,[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 90, 90, 90, 90, 90, 90, 90, 60, 90, 45, 45, 120, 60, 120, 135, 45, 165, 120, 15, 150, 15, 30, 150, 15, 165, 165, 0, 60, 15, 0, 0, 165, 165, 60, 0, 165, 165, 0, 0, 165, 0, 0, 120, 15, 0, 165, 0, 0]
40,[15, 90, 75, -1, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, 30, 15, -1, -1, -1, -1, -1, -1, 165, 165, -1, -1, -1, -1, -1, -1, 0, 165, -1, -1, -1, -1, -1, -1, 150, 150, 90, -1, 90, 90, 90, 75, 60, 105, 90, 90, 90, 90, 90, 75, 75, 75, 90, 90, 90, 90, 90, 90]
41,[-1, -1, 135, 120, 75, 90, 90, 90, 90, 90, 90, 75, 75, 90, 90, 90, 120, 105, -1, -1, -1, -1, -1, -1, 60, 60, -1, -1, -1, -1, -1, -1, 120, 15, 90, 90, 90, 90, 90, 90, 90, 75, 90, 90, 90, 90, 90, 90, -1, 90, 90, 90, 90, 90, 90, 90, -1, -1, -1, -1, -1, 75, 90, -1]
